"time","NO2"
1740237496277,
1740237569179,
1740237642133,
1740237846632,
1740237912944,
1740237979254,
1740238045580,
1740238111909,
1740238178318,
1740238244524,
1740238310876,
1740238443520,
1740238515381,
1740238588337,
1740238661359,
1740238734252,
1740238807202,
1740238879730,
1740238945389,
1740239011733,
1740239078410,
1740239144365,
1740239210704,
1740239277700,
1740239343345,
1740239409673,
1740239475998,
1740239542361,
1740239608648,
1740239674973,
1740239741374,
1740239807663,
1740239874730,
1740239940386,
1740240006631,
1740240072969,
1740240139381,
1740240205679,
1740240272122,
1740240338367,
1740240404690,
1740240471432,
1740240537287,
1740240603679,
1740240669947,
1740240736275,
1740240802612,
1740240868993,
1740240935367,
1740241001581,
1740241134250,
1740241598657,
1740241665160,
1740241731358,
1740241797495,
1740241930117,
1740241996472,
1740242062913,
1740242129142,
1740242195477,
1740242261824,
1740242328144,
1740242394584,
1740242460813,
1740242527195,
1740242593445,
1740242659754,
1740242726710,
1740242792430,
1740242858733,
1740242925126,
1740242991375,
1740243057915,
1740243123374,
1740243189935,
1740243256291,
1740243322507,
1740243455150,
1740243521466,
1740243587868,
1740243654115,
1740243786938,
1740243853297,
1740243919444,
1740243985834,
1740244118405,
1740244190402,
1740244262172,
1740244335156,
1740244408113,
1740244487668,
1740244554138,
1740244632533,
1740244698942,
1740244765293,
1740244831497,
1740244898700,
1740245030469,
1740245096793,
1740245163120,
1740245229450,
1740245362299,
1740245433993,
1740245507400,
1740245579901,
1740245653300,
1740245726310,
1740245798470,
1740245869696,
1740245949268,
1740246028778,
1740246108400,
1740246180358,
1740246253180,
1740246332762,
1740246399155,
1740246478862,
1740246545800,
1740246616888,
1740246683181,
1740246749514,
1740246815835,
1740246882325,
1740246948486,
1740247015100,
1740247081161,
1740247213869,
1740247280117,
1740247346579,
1740247479288,
1740247551172,
1740247630634,
1740247696893,
1740247769899,
1740247842793,
1740247921450,
1740247987619,
1740248120311,
1740248186595,
1740248253210,
1740248319250,
1740248385578,
1740248452860,
1740248518316,
1740248584798,
1740248650870,
1740248717303,
1740248783530,
1740248850120,
1740248916370,
1740249048875,
1740249120719,
1740249200297,
1740249266749,
1740249346251,
1740249412610,
1740249485499,
1740249569589,
1740249636200,
1740249702379,
1740249768693,
1740249834898,
1740249901276,
1740249967634,
1740250033874,
1740250166701,
1740250232863,
1740250299213,
1740250365515,
1740250431922,
1740250498278,
1740250564837,
1740250630991,
1740250697347,
1740250763472,
1741294551230,3.284725291
1741294629190,3.285338194
1741294695411,3.284725291
1741294761762,3.284725291
1741294828317,3.285338194
1741294894676,3.285338194
1741295027381,3.284112388
1741295093739,3.285338194
1741295160295,3.284725291
1741295226649,3.285338194
1741295293200,3.285338194
1741295359587,3.284112388
1741295425745,3.285338194
1741295492306,3.284112388
1741295558667,3.285338194
1741295625250,3.284112388
1741295691393,3.284725291
1741295757724,3.284725291
1741295824143,3.284112388
1741295890585,3.284725291
1741295962427,3.285338194
1741296028748,3.284725291
1741296095760,3.285338194
1741296161441,3.285338194
1741296227767,3.285338194
1741296294129,3.285338194
1741296360502,3.285338194
1741304583592,3.284725291
1741304649661,3.284725291
1741304715989,3.284112388
1741304782339,3.285338194
1741304848691,3.285338194
1741304914934,3.284112388
1741304981594,3.284112388
1741305047796,3.285338194
1741305114800,3.284725291
1741305180362,3.285338194
1741305313200,3.285338194
1741305379335,3.284725291
1741305445839,3.285338194
1741305511994,3.284112388
1741305578551,3.285338194
1741305644701,3.284725291
1741305711150,3.284725291
1741305777415,3.284725291
1741305843638,3.285338194
1741305910124,3.284725291
1741305976481,3.284725291
1741306042819,3.284112388
1741306108932,3.284725291
1741306175328,3.285338194
1741306241683,3.284112388
1741306308500,3.284725291
1741306374566,3.284725291
1741306506924,3.284725291
1741306573226,3.284725291
1741306639530,3.285338194
1741306705934,3.284725291
1741306772302,3.285338194
1741306838506,3.284725291
1741306904982,3.285338194
1741306973900,3.284112388
1741307037478,3.284725291
1741307103831,3.284112388
1741307170148,3.284112388
1741307236540,3.284725291
1741307302896,3.284725291
1741307369250,3.284112388
1741307501753,3.284112388
1741307568106,3.285338194
1741307634464,3.285338194
1741307700807,3.284112388
1741307772697,3.284725291
1741307838946,3.284725291
1741307971764,3.285338194
1741308037913,3.285338194
1741308104267,3.285338194
1741308170622,3.284112388
1741308236962,3.284725291
1741308303332,3.284725291
1741308369687,3.284112388
1741308436510,3.284725291
1741308502195,3.284112388
1741308568545,3.284112388
1741308634901,3.284725291
1741308701667,3.284112388
1741308767611,3.284725291
1741308833966,3.284725291
1741308900203,3.285338194
1741308966469,3.284112388
1741309032831,3.284112388
1741309099184,3.285338194
1741309165542,3.285338194
1741309231891,3.285338194
1741309298248,3.284112388
1741309364628,3.284725291
1741309430754,3.284725291
1741309497280,3.284725291
1741309563462,3.284725291
1741309629827,3.285338194
1741309696193,3.284725291
1741309762560,3.285338194
1741309828920,3.285338194
1741309895340,3.285338194
1741309961647,3.285338194
1741310028900,3.284725291
1741310094573,3.284112388
1741310161000,3.284725291
1741310227293,3.284112388
1741310293656,3.284112388
1741310360120,3.284112388
1741310426371,3.285338194
1741310492730,3.285338194
1741310558954,3.285338194
1741310625210,3.285338194
1741310691598,3.284112388
1741310757857,3.284725291
1741310957264,3.284725291
1741311023210,3.284725291
1741311155848,3.285338194
1741311227811,3.284725291
1741311302156,3.284112388
1741311373631,3.284725291
1741311446749,3.285338194
1741311519659,3.284725291
1741311591545,3.285338194
1741311657733,3.284725291
1741311724560,3.285338194
1741311790378,3.285338194
1741311856692,3.285338194
1741311923680,3.285338194
1741311989450,3.284112388
1741312055973,3.285338194
1741312121987,3.284725291
1741312188401,3.284112388
1741312254634,3.285338194
1741312320996,3.285338194
1741312387367,3.284725291
1741312453718,3.284112388
1741312718932,3.284112388
1741312790816,3.284725291
1741312863929,3.284725291
1741312936839,3.285338194
1741313009648,3.284112388
1741313082654,3.285338194
1741313161114,3.285338194
1741313227429,3.284112388
1741313360157,3.284112388
1741313426405,3.285338194
1741313492869,3.284725291
1741313559630,3.285338194
1741313691754,3.284725291
1741313758950,3.285338194
1741313890823,3.284725291
1741313962600,3.285338194
1741314035630,3.285338194
1741314108547,3.284112388
1741314181665,3.285338194
1741314254580,3.285338194
1741314333230,3.284725291
1741314399383,3.284725291
1741314465741,3.284112388
1741314532990,3.284725291
1741314598459,3.285338194
1741314664639,3.285338194
1741314731103,3.284725291
1741314797328,3.285338194
1741314863684,3.285338194
1741314929968,3.285338194
1741314996400,3.285338194
1741315062595,3.284725291
1741315128995,3.284725291
1741315195267,3.284725291
1741315261624,3.285338194
1741315327979,3.284725291
1741315394337,3.284725291
1741315460639,3.285338194
1741315527130,3.285338194
1741315593337,3.284725291
1741315659541,3.284112388
1741315725869,3.284725291
1741315792474,3.284725291
1741315858620,3.285338194
1741315924970,3.284725291
1741315991321,3.285338194
1741316057676,3.285338194
1741316123826,3.285338194
1741316190192,3.285338194
1741316256530,3.284725291
1741316322826,3.285338194
1741316389238,3.285338194
1741316455591,3.285338194
1741316521948,3.284112388
1741316594581,3.284725291
1741316654387,3.284725291
1741316720717,3.284725291
1741316787212,3.284725291
1741316853941,3.284725291
1741316919699,3.285338194
1741316986230,3.284112388
1741317052379,3.285338194
1741317118735,3.284112388
1741317184989,3.285338194
1741317251448,3.284725291
1741317317801,3.285338194
1741317384160,3.284725291
1741317450311,3.285338194
1741317516620,3.285338194
1741317582942,3.284725291
1741317649373,3.285338194
1741317715729,3.285338194
1741317781955,3.284725291
1741317848446,3.284112388
1741317914604,3.284725291
1741317980965,3.284112388
1741318047325,3.284112388
1741318113891,3.284112388
1741318180454,3.285338194
1741318246813,3.285338194
1741318313172,3.285338194
1741318379530,3.284725291
1741318512246,3.285338194
1741318577582,3.285338194
1741318643735,3.284725291
1741318710200,3.285338194
1741318842807,3.285338194
1741318909300,3.285338194
1741318975519,3.284112388
1741319041667,3.285338194
1741319108320,3.285338194
1741319174388,3.284112388
1741319240746,3.285338194
1741319306981,3.284725291
1741319373355,3.285338194
1741319439767,3.284725291
1741319506290,3.284112388
1741319575464,3.285338194
1741319638610,3.284725291
1741319705410,3.284725291
1741319771396,3.284725291
1741319837585,3.285338194
1741319903980,3.285338194
1741319970245,3.285338194
1741320038420,3.285338194
1741320102946,3.284112388
1741320169213,3.284725291
1741320235649,3.285338194
1741320301886,3.284725291
1741320368159,3.284725291
1741320434529,3.285338194
1741320500813,3.285338194
1741320567212,3.285338194
1741320633563,3.285338194
1741320766273,3.285338194
1741320837989,3.284112388
1741320904512,3.285338194
1741320970664,3.284725291
1741321037100,3.285338194
1741321103376,3.285338194
1741321169727,3.284725291
1741321236400,3.285338194
1741321302390,3.284725291
1741321368796,3.284725291
1741321434944,3.285338194
1741321567608,3.285338194
1741321633967,3.284725291
1741321700232,3.284725291
1741321766557,3.284112388
1741321833790,3.285338194
1741321899212,3.285338194
1741321965584,3.285338194
1741322031861,3.284112388
1741322098188,3.284725291
1741322164649,3.285338194
1741322231400,3.285338194
1741322297359,3.285338194
1741322363715,3.285338194
1741322496221,3.285338194
1741322562578,3.285338194
1741322628931,3.285338194
1741322761644,3.285338194
1741322833529,3.285338194
1741322906439,3.285338194
1741322979346,3.284725291
1741323052203,3.285338194
1741323125158,3.284725291
1741323197510,3.285338194
1741323263436,3.285338194
1741323329677,3.285338194
1741323396118,3.285338194
1741323462384,3.285338194
1741323528680,3.284725291
1741323595186,3.285338194
1741323661540,3.285338194
1741323727690,3.284725291
1741323794190,3.284725291
1741323860401,3.285338194
1741323926614,3.285338194
1741323992940,3.284112388
1741324059274,3.285338194
1741324125634,3.285338194
1741324191992,3.285338194
1741324258350,3.285338194
1741324324584,3.285338194
1741324391130,3.285338194
1741324457424,3.284112388
1741324523785,3.284725291
1741324589937,3.284112388
1741324656294,3.285338194
1741324722651,3.284112388
1741324788966,3.285338194
1741324855367,3.285338194
1741324921723,3.285338194
1741324987878,3.284112388
1741325054225,3.284725291
1741325120546,3.285338194
1741325186884,3.284112388
1741325253303,3.285338194
1741325386170,3.285338194
1741325452373,3.285338194
1741325518526,3.285338194
1741325584836,3.285338194
1741325651237,3.284725291
1741325717596,3.284725291
1741325783950,3.284725291
1741325850310,3.285338194
1741325982818,3.284725291
1741326049184,3.285338194
1741326115749,3.285338194
1741326182130,3.285338194
1741326248794,3.284112388
1741326315510,3.284725291
1741326381402,3.285338194
1741326447628,3.285338194
1741326514210,3.285338194
1741326580289,3.285338194
1741326646647,3.285338194
1741326712956,3.284112388
1741326779759,3.284725291
1741326845601,3.284725291
1741326912161,3.284725291
1741326978432,3.284725291
1741327044621,3.285338194
1741327110941,3.285338194
1741327177300,3.285338194
1741327243659,3.284725291
1741327310150,3.285338194
1741327376372,3.285338194
1741327441709,3.285338194
1741327507861,3.284725291
1741327574217,3.284725291
1741327640576,3.284112388
1741327773146,3.285338194
1741327839474,3.284725291
1741327905947,3.285338194
1741327973739,3.285338194
1741328038456,3.285338194
1741328104759,3.284725291
1741328171740,3.284725291
1741328237487,3.285338194
1741328303833,3.285338194
1741328370330,3.285338194
1741328436361,3.285338194
1741328502673,3.284725291
1741328568998,3.285338194
1741328635374,3.284725291
1741328701671,3.284725291
1741328768770,3.285338194
1741328834300,3.285338194
1741328900779,3.284725291
1741328966985,3.284112388
1741329033490,3.284725291
1741329099634,3.285338194
1741329165928,3.284112388
1741329232237,3.285338194
1741329298638,3.285338194
1741329364986,3.285338194
1741329431240,3.285338194
1741329497579,3.284725291
1741329563893,3.285338194
1741329630220,3.284725291
1741329696523,3.285338194
1741329762863,3.285338194
1741329829324,3.285338194
1741329895486,3.284112388
1741329962180,3.285338194
1741330028178,3.285338194
1741330094457,3.285338194
1741330227251,3.285338194
1741330293507,3.284725291
1741330359915,3.285338194
1741330426108,3.284725291
1741330492483,3.284725291
1741330558735,3.284725291
1741330625172,3.285338194
1741330691387,3.284725291
1741330757772,3.284725291
1741330824237,3.284112388
1741330890419,3.285338194
1741330956694,3.284725291
1741331023170,3.284725291
1741331089452,3.285338194
1741331155664,3.285338194
1741331221987,3.285338194
1741331288498,3.284112388
1741331354638,3.285338194
1741331420967,3.284725291
1741331487281,3.285338194
1741331553756,3.284112388
1741331620800,3.285338194
1741331686305,3.285338194
1741331751537,3.285338194
1741331817870,3.284112388
1741331884277,3.285338194
1741331950525,3.285338194
1741332016847,3.285338194
1741332083342,3.285338194
1741332215858,3.285338194
1741332282224,3.285338194
1741332348551,3.285338194
1741332414953,3.285338194
1741332481181,3.285338194
1741332547511,3.285338194
1741332613835,3.285338194
1741332680174,3.284725291
1741332746518,3.284725291
1741332812912,3.285338194
1741332879142,3.285338194
1741332945526,3.284725291
1741333078183,3.285338194
1741333144453,3.285338194
1741333210844,3.285338194
1741333277980,3.285338194
1741333343429,3.285338194
1741333409879,3.285338194
1741333476238,3.285338194
1741333608729,3.284725291
1741333675186,3.284725291
1741333741415,3.285338194
1741333807704,3.285338194
1741333874390,3.285338194
1741333940377,3.285338194
1741334012247,3.284725291
1741334078767,3.285338194
1741334145138,3.285338194
1741334211633,3.285338194
1741334278600,3.285338194
1741334344486,3.284725291
1741334410755,3.285338194
1741334477390,3.284112388
1741334543378,3.284725291
1741334609769,3.285338194
1741334676450,3.284725291
1741334742351,3.284725291
1741334808710,3.284725291
1741334875750,3.284112388
1741334941376,3.284725291
1741335007842,3.285338194
1741335073974,3.285338194
1741335140306,3.285338194
1741335206745,3.284725291
1741335339345,3.285338194
1741335405620,3.284112388
1741335474711,3.285338194
1741335538267,3.285338194
1741335604758,3.285338194
1741335671120,3.284725291
1741335737266,3.285338194
1741335803629,3.284725291
1741335869914,3.285338194
1741335936218,3.285338194
1741336002587,3.285338194
1741336068910,3.284725291
1741336135246,3.285338194
1741336201683,3.284725291
1741336267901,3.285338194
1741336334241,3.285338194
1741336400585,3.284112388
1741336466916,3.285338194
1741336533248,3.285338194
1741336599643,3.284112388
1741336666210,3.285338194
1741336732312,3.284725291
1741336798626,3.285338194
1741336864915,3.284725291
1741336931351,3.285338194
1741336997570,3.284112388
1741337064280,3.284725291
1741337130325,3.285338194
1741337196585,3.285338194
1741337262902,3.284725291
1741337329302,3.284725291
1741337395660,3.284725291
1741337461988,3.285338194
1741337528232,3.284725291
1741337594741,3.285338194
1741337660946,3.284112388
1741337727250,3.284725291
1741337793525,3.285338194
1741337859966,3.284725291
1741337926236,3.285338194
1741337992682,3.285338194
1741338058830,3.284725291
1741338125197,3.285338194
1741338191552,3.284725291
1741338256782,3.285338194
1741338323107,3.284725291
1741338389420,3.284725291
1741338455797,3.285338194
1741338522306,3.284725291
1741338588497,3.284112388
1741338654730,3.284725291
1741338721121,3.285338194
1741338787342,3.284725291
1741338853675,3.285338194
1741338919970,3.285338194
1741338986351,3.284725291
1741339052676,3.285338194
1741339118948,3.285338194
1741339185273,3.285338194
1741339251628,3.285338194
1741339317988,3.285338194
1741339384448,3.284725291
1741339450714,3.285338194
1741339516898,3.284725291
1741339583250,3.285338194
1741339649666,3.284725291
1741339716300,3.285338194
1741339782237,3.284725291
1741339914876,3.285338194
1741339981208,3.285338194
1741340047594,3.285338194
1741340113853,3.285338194
1741340180186,3.284112388
1741340246661,3.284725291
1741340313200,3.284725291
1741340379168,3.284725291
1741340445522,3.284725291
1741340511811,3.285338194
1741340578276,3.284725291
1741340644468,3.285338194
1741340710943,3.285338194
1741340777189,3.284725291
1741340843651,3.285338194
1741340909805,3.285338194
1741340976213,3.284725291
1741341042516,3.284725291
1741341108870,3.285338194
1741341175634,3.285338194
1741341241399,3.284725291
1741341307712,3.285338194
1741341374400,3.285338194
1741341440375,3.284725291
1741341506805,3.285338194
1741341573156,3.285338194
1741341639512,3.284725291
1741341705866,3.285338194
1741341774831,3.285338194
1741341838324,3.285338194
1741341904650,3.285338194
1741341970980,3.284112388
1741342037292,3.285338194
1741342103741,3.285338194
1741342170360,3.285338194
1741342236870,3.285338194
1741342303231,3.284725291
1741342369632,3.285338194
1741342435767,3.285338194
1741342502960,3.285338194
1741342567556,3.285338194
1741342633717,3.285338194
1741342700360,3.285338194
1741342766353,3.284725291
1741342832704,3.285338194
1741342899560,3.285338194
1741342965415,3.284725291
1741343031770,3.285338194
1741343098129,3.285338194
1741343164338,3.285338194
1741343297199,3.285338194
1741343363330,3.284725291
1741343429660,3.285338194
1741343496370,3.285338194
1741343562317,3.285338194
1741343628775,3.285338194
1741343695135,3.284725291
1741343761491,3.284725291
1741343827645,3.285338194
1741343893988,3.285338194
1741343960353,3.285338194
1741344026715,3.285338194
1741344093700,3.284725291
1741344225784,3.285338194
1741344291932,3.284725291
1741344358288,3.284112388
1741344424648,3.285338194
1741344490999,3.284725291
1741344557357,3.284725291
1741344623717,3.285338194
1741344690190,3.284725291
1741344756214,3.285338194
1741344822577,3.285338194
1741344888927,3.285338194
1741344955283,3.284112388
1741345021642,3.284725291
1741345087976,3.285338194
1741345220502,3.284725291
1741345286861,3.285338194
1741345353215,3.284112388
1741345419569,3.284725291
1741345485927,3.284112388
1741345552285,3.284725291
1741345618639,3.284725291
1741345684788,3.284112388
1741345751150,3.284725291
1741345817502,3.284725291
1741345883858,3.285338194
1741345950212,3.285338194
1741346016568,3.285338194
1741346082720,3.284725291
1741346149260,3.285338194
1741346215432,3.284725291
1741346281790,3.284725291
1741346348210,3.285338194
1741346414344,3.285338194
1741346480857,3.285338194
1741346547120,3.285338194
1741346679728,3.285338194
1741346746250,3.285338194
1741346812439,3.285338194
1741346877773,3.284725291
1741346943973,3.285338194
1741347010280,3.285338194
1741347076638,3.285338194
1741347142996,3.284112388
1741347209355,3.284725291
1741347281237,3.285338194
1741347347595,3.284725291
1741347413950,3.284725291
1741347480307,3.285338194
1741347546468,3.285338194
1741347612815,3.285338194
1741347679204,3.285338194
1741347745459,3.285338194
1741347811888,3.285338194
1741347878239,3.285338194
1741347944600,3.284112388
1741348010748,3.285338194
1741348077105,3.284725291
1741348143466,3.284725291
1741348209819,3.284725291
1741348276120,3.284725291
1741348342534,3.284725291
1741348408889,3.285338194
1741348475440,3.285338194
1741348541394,3.285338194
1741348607739,3.284725291
1741348674906,3.284725291
1741348740437,3.284725291
1741348806784,3.284725291
1741348872929,3.284725291
1741348939287,3.284112388
1741349005636,3.284112388
1741349138338,3.285338194
1741349204689,3.285338194
1741349271420,3.284725291
1741349337191,3.284725291
1741349403545,3.284725291
1741349469896,3.285338194
1741349536251,3.284725291
1741349602609,3.285338194
1741349668962,3.285338194
1741349735138,3.285338194
1741349801461,3.285338194
1741349867810,3.284725291
1741350000604,3.285338194
1741350066960,3.285338194
1741350133518,3.284725291
1741350199975,3.284725291
1741350266223,3.285338194
1741350332575,3.285338194
1741350398983,3.285338194
1741350465242,3.285338194
1741350531643,3.284725291
1741350597920,3.284725291
1741350664368,3.285338194
1741350730734,3.284112388
1741350797990,3.285338194
1741350863249,3.284725291
1741350929612,3.284725291
1741350995978,3.284725291
1741351128694,3.285338194
1741351195550,3.285338194
1741351261210,3.285338194
1741351327567,3.284725291
1741351393924,3.285338194
1741351460285,3.284112388
1741351525456,3.284725291
1741351591968,3.284112388
1741351658341,3.285338194
1741351724486,3.284725291
1741351790846,3.285338194
1741351857204,3.285338194
1741351923561,3.284725291
1741351992848,3.284725291
1741352056275,3.284112388
1741352122636,3.284112388
1741352188782,3.284725291
1741352255137,3.284725291
1741352321498,3.285338194
1741352387852,3.285338194
1741352454213,3.285338194
1741352520569,3.285338194
1741352586922,3.285338194
1741352653720,3.285338194
1741352785674,3.285338194
1741352852000,3.284725291
1741352984835,3.285338194
1741353051190,3.285338194
1741353117337,3.285338194
1741353250260,3.285338194
1741353321949,3.284725291
1741353521890,
1741353540867,3.285338194
1741353613653,3.284112388
1741353685655,3.285338194
1741353752213,3.285338194
1741353818363,3.284725291
1741353884513,3.285338194
1741353950868,3.285338194
1741354017229,3.285338194
1741354083584,3.285338194
1741354149946,3.285338194
1741354216291,3.284725291
1741354282860,3.284725291
1741354348798,3.285338194
1741354415153,3.284112388
1741354481523,3.285338194
1741354547781,3.284725291
1741354614252,3.285338194
1741354680786,3.284725291
1741354746943,3.285338194
1741354813306,3.285338194
1741354879467,3.284725291
1741354945799,3.285338194
1741355012188,3.285338194
1741355078580,3.285338194
1741355144907,3.284725291
1741355211910,3.285338194
1741355277626,3.284725291
1741355343783,3.285338194
1741355410141,3.285338194
1741355476406,3.284725291
1741355542861,3.285338194
1741355609219,3.285338194
1741355675579,3.284725291
1741355741932,3.285338194
1741355808940,3.284725291
1741355875676,3.284725291
1741355940811,3.285338194
1741356007410,3.285338194
1741356073555,3.285338194
1741356139881,3.285338194
1741356206121,3.284112388
1741356272489,3.285338194
1741356338838,3.285338194
1741356405400,3.285338194
1741356471337,3.284725291
1741356537740,3.284725291
1741356604100,3.284725291
1741356736745,
1741356802978,
1741356869289,
1741356935666,
1741357001985,
1741357068336,
1741357134695,
1741357201256,
1741357267402,
1741357333561,
1741357399909,
1741357466266,
1741357598874,
1741357665331,
1741357731512,
1741357797864,
1741357864196,
1741357929523,
1741357995887,
1741358062443,
1741358128994,
1741358195357,
1741358261716,
1741358328730,
1741358394431,
1741358460783,
1741358526938,
1741358593251,
1741358792367,
1741358864244,
1741358937148,
1741359010510,
1741359089716,
1741359155907,
1741359234508,
1741359300860,
1741359367215,
1741359433576,
1741359499720,
1741359632430,
1741359698785,
1741359765280,
1741359831337,
1741359897665,
1741360096709,
1741360168595,
1741360246120,
1741360318922,
1741360391854,
1741360464944,
1741360543383,
1741360609739,
1741360676940,
1741360742296,
1741360875161,
1741360941249,
1741361007644,
1741361073991,
1741361140345,
1741361206689,
1741361274983,
1741361339186,
1741361471890,
1741361543975,
1741361616676,
1741361689790,
1741361762692,
1741361835597,
1741361914240,
1741361980396,
1741362046742,
1741362112993,
1741362245808,
1741362312158,
1741362378307,
1741362444659,
1741362511140,
1741362577365,
1741362643718,
1741362776432,
1741362848313,
1741362921157,
1741362994138,
1741363066988,
1741363139964,
1741363218612,
1741363284960,
1741363351329,
1741363417690,
1741363483834,
1741363550193,
1741363616552,
1741363682907,
1741363749263,
1741363815411,
1741363881767,
1741363948109,
1741364014478,
1741364080839,
1741364147193,
1741364213547,
1741364279701,
1741364412410,
1741364478764,
1741364544998,
1741364611507,
1741364677831,
1741364743957,
1741364810372,
1741364876730,
1741364943400,
1741365009465,
1741365075633,
1741365142700,
1741365208308,
1741365274744,
1741365341108,
1741365407435,
1741365475645,
1741365540165,
1741365606531,
1741365672997,
1741365739300,
1741365805414,
1741365871772,
1741365938133,
1741366004330,
1741366070858,
1741366136996,
1741366203394,
1741366269938,
1741366336404,
1741366469324,
1741366535687,
1741366601835,
1741366668201,
1741366734558,
1741366801441,
1741366933446,
1741366999974,
1741367066237,
1741367132466,
1741367198819,
1741367265159,
1741367331510,
1741367397857,
1741367462981,
1741367529332,
1741367595682,
1741367661989,
1741367728389,
1741367794741,
1741367860894,
1741367927243,
1741367993601,
1741368059958,
1741368126311,
1741368192669,
1741368258850,
1741368325168,
1741368391527,
1741368457882,
1741368524267,
1741368590592,
1741368656948,
1741368723312,
1741368789456,
1741368855819,
1741368922113,
1741368988437,
1741369054879,
1741369121232,
1741369187584,3.285338194
1741369253938,3.284725291
1741369320870,3.285338194
1741369386435,3.285338194
1741369519147,3.285338194
1741369585506,3.285338194
1741369651854,3.285338194
1741369717993,3.284725291
1741369784360,3.285338194
1741369850714,3.285338194
1741369917700,3.284725291
1741369983429,3.285338194
1741370049786,3.285338194
1741370116300,3.284725291
1741370182290,3.285338194
1741370248644,3.284112388
1741370315200,3.284725291
1741370381356,3.284725291
1741370447710,3.284725291
1741370514240,3.285338194
1741370646573,3.284725291
1741370712927,3.284725291
1741370779287,3.284725291
1741370845673,3.285338194
1741370911970,3.285338194
1741370978353,3.284112388
1741371044514,3.284112388
1741371110865,3.285338194
1741371177225,3.285338194
1741371243595,3.284112388
1741371309951,3.284725291
1741371376314,3.284725291
1741371442675,3.285338194
1741371509340,3.284725291
1741371575191,3.285338194
1741371641549,3.284112388
1741371707913,3.284725291
1741371839603,3.285338194
1741371905766,3.284725291
1741371972113,3.285338194
1741372038680,3.284112388
1741372104830,3.285338194
1741372171197,3.284112388
1741372237548,3.284725291
1741372303907,3.285338194
1741372370259,3.285338194
1741372436412,3.285338194
1741372502775,3.284725291
1741372569130,3.285338194
1741372635489,3.285338194
1741372701841,3.284725291
1741372768620,3.285338194
1741372834500,3.284725291
1741372900917,3.285338194
1741372967710,3.285338194
1741373033425,3.284725291
1741373099787,3.285338194
1741373166900,3.285338194
1741373232488,3.285338194
1741373304365,3.285338194
1741373376240,3.285338194
1741373442593,3.284725291
1741373508745,3.285338194
1741373575298,3.285338194
