"time","Umidade"
1741353521890,
1741353540867,52.48
1741353613653,52.34
1741353685655,52.42
1741353752213,52.46
1741353818363,52.45
1741353884513,52.47
1741353950868,52.39
1741354017229,52.43
1741354083584,52.38
1741354149946,52.33
1741354216291,52.38
1741354282860,52.25
1741354348798,52.28
1741354415153,52.23
1741354481523,52.24
1741354547781,52.16
1741354614252,52.11
1741354680786,52.25
1741354746943,52.38
1741354813306,52.43
1741354879467,52.43
1741354945799,52.57
1741355012188,52.54
1741355078580,52.51
1741355144907,52.54
1741355211910,52.51
1741355277626,52.53
1741355343783,52.49
1741355410141,52.43
1741355476406,52.4
1741355542861,52.37
1741355609219,52.41
1741355675579,52.41
1741355741932,52.38
1741355808940,52.35
1741355875676,52.38
1741355940811,52.28
1741356007410,52.32
1741356073555,52.28
1741356139881,52.32
1741356206121,52.24
1741356272489,52.21
1741356338838,52.15
1741356405400,52.09
1741356471337,52.19
1741356537740,52.15
1741356604100,52.13
1741356736745,52.05
1741356802978,52.11
1741356869289,52.03
1741356935666,51.99
1741357001985,51.94
1741357068336,52.04
1741357134695,52.04
1741357201256,52.01
1741357267402,51.94
1741357333561,51.88
1741357399909,51.87
1741357466266,51.82
1741357598874,51.79
1741357665331,51.85
1741357731512,51.84
1741357797864,51.87
1741357864196,51.72
1741357929523,51.81
1741357995887,51.75
1741358062443,51.78
1741358128994,51.77
1741358195357,51.77
1741358261716,51.76
1741358328730,51.78
1741358394431,51.75
1741358460783,51.77
1741358526938,51.8
1741358593251,51.79
1741358792367,51.77
1741358864244,51.76
1741358937148,51.79
1741359010510,51.81
1741359089716,51.75
1741359155907,51.78
1741359234508,51.75
1741359300860,51.8
1741359367215,51.8
1741359433576,51.73
1741359499720,51.76
1741359632430,51.82
1741359698785,51.73
1741359765280,51.71
1741359831337,51.76
1741359897665,51.84
1741360096709,51.82
1741360168595,51.8
1741360246120,51.78
1741360318922,51.77
1741360391854,51.75
1741360464944,51.78
1741360543383,51.82
1741360609739,51.87
1741360676940,51.85
1741360742296,51.79
1741360875161,51.73
1741360941249,51.73
1741361007644,51.75
1741361073991,51.77
1741361140345,51.75
1741361206689,51.77
1741361274983,51.76
1741361339186,51.79
1741361471890,51.77
1741361543975,51.8
1741361616676,51.78
1741361689790,51.78
1741361762692,51.73
1741361835597,51.77
1741361914240,51.74
1741361980396,51.77
1741362046742,51.73
1741362112993,51.77
1741362245808,51.74
1741362312158,51.71
1741362378307,51.73
1741362444659,51.75
1741362511140,51.7
1741362577365,51.75
1741362643718,51.71
1741362776432,51.66
1741362848313,51.65
1741362921157,51.62
1741362994138,51.55
1741363066988,51.43
1741363139964,51.26
1741363218612,51.09
1741363284960,51.02
1741363351329,50.99
1741363417690,50.98
1741363483834,50.97
1741363550193,50.97
1741363616552,51.02
1741363682907,51.02
1741363749263,51.02
1741363815411,51.05
1741363881767,51.07
1741363948109,51.09
1741364014478,51.15
1741364080839,51.23
1741364147193,51.22
1741364213547,51.23
1741364279701,51.13
1741364412410,51.19
1741364478764,51.15
1741364544998,51.11
1741364611507,51.06
1741364677831,51.08
1741364743957,51.13
1741364810372,51.13
1741364876730,51.15
1741364943400,51.15
1741365009465,51.13
1741365075633,51.14
1741365142700,51.2
1741365208308,51.19
1741365274744,51.22
1741365341108,51.21
1741365407435,51.22
1741365475645,51.24
1741365540165,51.29
1741365606531,51.24
1741365672997,51.25
1741365739300,51.19
1741365805414,51.19
1741365871772,51.18
1741365938133,51.2
1741366004330,51.19
1741366070858,51.12
1741366136996,51.18
1741366203394,51.18
1741366269938,51.15
1741366336404,51.15
1741366469324,51.15
1741366535687,51.2
1741366601835,51.15
1741366668201,51.15
1741366734558,51.17
1741366801441,51.17
1741366933446,51.16
1741366999974,51.14
1741367066237,51.16
1741367132466,51.16
1741367198819,51.13
1741367265159,51.14
1741367331510,51.17
1741367397857,51.18
1741367462981,51.14
1741367529332,51.18
1741367595682,51.17
1741367661989,51.35
1741367728389,51.18
1741367794741,50.56
1741367860894,49.97
1741367927243,49.22
1741367993601,48.73
1741368059958,48.23
1741368126311,47.82
1741368192669,47.45
1741368258850,47.23
1741368325168,47
1741368391527,46.77
1741368457882,46.58
1741368524267,46.34
1741368590592,46.39
1741368656948,46.2
1741368723312,46.29
1741368789456,45.92
1741368855819,45.41
1741368922113,45.02
1741368988437,44.71
1741369054879,44.35
1741369121232,44
1741369187584,43.74
1741369253938,43.44
1741369320870,43.18
1741369386435,43.03
1741369519147,42.98
1741369585506,42.9
1741369651854,42.81
1741369717993,42.66
1741369784360,42.54
1741369850714,42.43
1741369917700,42.26
1741369983429,42.18
1741370049786,42.05
1741370116300,42.03
1741370182290,41.87
1741370248644,41.77
1741370315200,41.58
1741370381356,41.38
1741370447710,41.23
1741370514240,41.1
1741370646573,41.04
1741370712927,40.88
1741370779287,40.93
